FIELDNAME,LANGUAGE,TEXT
FLAGCOMM3_1,S,Telefax...
FLAGCOMM4_1,D,Teletex
FLAGCOMM4_1,E,Teletex
FLAGCOMM4_1,S,Teletex
FLAGCOMM5_1,D,Telex
FLAGCOMM5_1,E,Telex
FLAGCOMM5_1,S,Télex
FLAGCOMM6_1,D,E-Mail gepflegt
FLAGCOMM6_1,E,E-Mail Maint.
FLAGCOMM6_1,S,Corr.elect.act.
FLAGCOMM7_1,D,R/Mail
FLAGCOMM7_1,E,R/Mail
FLAGCOMM7_1,S,R/Mail
FLAGCOMM8_1,D,X.400
FLAGCOMM8_1,E,X.400
FLAGCOMM8_1,S,X.400
FLAGCOMM9_1,D,RFC
FLAGCOMM9_1,E,RFC
FLAGCOMM9_1,S,RFC
FLOOR_1,D,Stockwerk
FLOOR_1,E,Floor
FLOOR_1,S,Piso
FUNCTION,D,Funktion
FUNCTION,E,Function
FUNCTION,S,Función
ID_CATEGORY_2,D,ID Kategorie
ID_CATEGORY_2,E,ID Category
ID_CATEGORY_2,S,Categoría ID
ID_CODE,D,Kürzel
ID_CODE,E,Short name
ID_CODE,S,Sigla
IH_MAIL,D,Hauspost
IH_MAIL,E,Internal mail
IH_MAIL,S,Correo interno
NATION_2,D,Adressversion
NATION_2,E,Address Version
NATION_2,S,Versión direc.
PERSNUMBER_2,D,Personennummer
PERSNUMBER_2,E,Person number
PERSNUMBER_2,S,Nº persona
ROOMNUMBER_1,D,Raumnummer
ROOMNUMBER_1,E,Room Number
ROOMNUMBER_1,S,Nº habitación
SO_KEY,D,SO-Key
SO_KEY,E,SO key
SO_KEY,S,Clv.SAP-office
SORT_PHN_2,D,phonet. Sort.
SORT_PHN_2,E,Phonet. Sort.
SORT_PHN_2,S,Clasif.fonética
SORT1_2,D,Suchbegriff 1
SORT1_2,E,Search Term 1
SORT1_2,S,Concept.búsq.1
SORT2_2,D,Suchbegriff 1
SORT2_2,E,Search Term 1
SORT2_2,S,Concept.búsq.1
TEL_EXTENS_1,D,Nebenstelle
TEL_EXTENS_1,E,Extension
TEL_EXTENS_1,S,Extensión
TEL_NUMBER_1,D,Telefon
TEL_NUMBER_1,E,Telephone
TEL_NUMBER_1,S,Teléfono
UUID_BELATED_2,D,nachträgliche UUID
UUID_BELATED_2,E,Subsequent UUID
UUID_BELATED_2,S,UUID posterior
XPCPT_1,D,Ende Verwendungszw.
XPCPT_1,E,PurposeComplete Flag
XPCPT_1,S,Concl.objetivo util.
CONSNUMBER,D,Laufende Nummer
CONSNUMBER,E,Sequence Number
CONSNUMBER,S,Número actual
DFT_RECEIV,D,Std.Empfänger
DFT_RECEIV,E,Std.recipient
DFT_RECEIV,S,Recept.estándar
ENCODE,D,Codierung
ENCODE,E,Coding
ENCODE,S,Codificación
FLG_NOUSE,D,Nicht verwenden
FLG_NOUSE,E,Do not use
FLG_NOUSE,S,No se utiliza
FLGDEFAULT,D,Standard-Adr.
FLGDEFAULT,E,Standard addr.
FLGDEFAULT,S,Direc.defecto
HOME_FLAG,D,Heimatadresse
HOME_FLAG,E,Home address
HOME_FLAG,S,Direc.país or.
R3_USER,D,SAP-Anschluß
R3_USER,E,SAP Connection
R3_USER,S,Conexión R/3
SMTP_SRCH,D,E-Mail-Adresse
SMTP_SRCH,E,E-Mail Address
SMTP_SRCH,S,Dir.cor.elec.
TNEF,D,TNEF
TNEF,E,TNEF
TNEF,S,TNEF
VALID_FROM,D,Gültig von
VALID_FROM,E,Valid From
VALID_FROM,S,Válido de
VALID_TO,D,Gültig bis
VALID_TO,E,Valid To
VALID_TO,S,Validez a
ADDR_GROUP,D,Adreßgruppe
ADDR_GROUP,E,Address group
ADDR_GROUP,S,Grupo direc.
ADDRESS_ID,D,Adreß-ID
ADDRESS_ID,E,Address ID
ADDRESS_ID,S,ID dirección
ADDRNUMBER_1,D,Adressnummer
ADDRNUMBER_1,E,Address Number
ADDRNUMBER_1,S,Nº dirección
ADDRORIGIN,D,Quelle Adresse
ADDRORIGIN,E,Address Source
ADDRORIGIN,S,Fuente direcc.
ADRC_ERR_STATUS,D,Fehlerstatus
ADRC_ERR_STATUS,E,Error Status
ADRC_ERR_STATUS,S,Status de error
ADRC_UUID,D,Adress-UUID
ADRC_UUID,E,Address UUID
ADRC_UUID,S,UUID dirección
BUILDING,D,Gebäudekürzel
BUILDING,E,Building Code
BUILDING,S,Sigla edificio
CHCKSTATUS,D,Prüfstatus
CHCKSTATUS,E,Check Status
CHCKSTATUS,S,Status verif.
CITY_CODE,D,Ortsnummer
CITY_CODE,E,City Code
CITY_CODE,S,Nº población
CITY_CODE2,D,Ortsnummer
CITY_CODE2,E,City Code
CITY_CODE2,S,Nº población
CITY1,D,Ort
CITY1,E,City
CITY1,S,Población
CITY2,D,Ortsteil
CITY2,E,District
CITY2,S,Distrito
CITYH_CODE,D,Ortsnummer
CITYH_CODE,E,City Code
CITYH_CODE,S,Nº de población
CITYP_CODE,D,Ortsteil
CITYP_CODE,E,District
CITYP_CODE,S,Distrito
CLIENT,D,Mandant
CLIENT,E,Client
CLIENT,S,Mandante
COUNTRY,D,Land
COUNTRY,E,Country
COUNTRY,S,País
COUNTY,D,Bezirk
COUNTY,E,County
COUNTY,S,Distrito
COUNTY_CODE,D,Kreiscode
COUNTY_CODE,E,County code
COUNTY_CODE,S,Cód.ár.cir.
DATE_FROM,D,von
DATE_FROM,E,From
DATE_FROM,S,de
DATE_TO,D,bis
DATE_TO,E,To
DATE_TO,S,a
DEFLT_COMM,D,Kommunikationsart
DEFLT_COMM,E,Comm. Method
DEFLT_COMM,S,Fo.comunicación
DELI_SERV_NUMBER,D,Zustelldienstnummer
DELI_SERV_NUMBER,E,Delivery Service No.
DELI_SERV_NUMBER,S,Número serv.entrega
DELI_SERV_TYPE,D,Zustelldienstart
DELI_SERV_TYPE,E,Delvry Serv Type
DELI_SERV_TYPE,S,Cl.serv.entrega
DONT_USE_P,D,Unzustellbar
DONT_USE_P,E,Undeliverable
DONT_USE_P,S,Destin.descon.
DONT_USE_S,D,Unzustellbar
DONT_USE_S,E,Undeliverable
DONT_USE_S,S,Destin.descon.
EXTENSION1,D,Datenleitung
EXTENSION1,E,Data line
EXTENSION1,S,Lín.trans.datos
EXTENSION2,D,Telebox
EXTENSION2,E,Telebox
EXTENSION2,S,Telebox
FAX_EXTENS,D,Nebenstelle
FAX_EXTENS,E,Extension
FAX_EXTENS,S,Extensión
FAX_NUMBER,D,Fax
FAX_NUMBER,E,Fax
FAX_NUMBER,S,Fax
FLAGCOMM10,D,Drucker
FLAGCOMM10,E,Printer
FLAGCOMM10,S,Impresora
FLAGCOMM11,D,SSF
FLAGCOMM11,E,SSF
FLAGCOMM11,S,SSF
FLAGCOMM12,D,URI/FTP
FLAGCOMM12,E,URI/FTP
FLAGCOMM12,S,URI/FTP
FLAGCOMM13,D,Pager
FLAGCOMM13,E,Pager
FLAGCOMM13,S,Pager
FLAGCOMM2,D,Telefon...
FLAGCOMM2,E,Telephone...
FLAGCOMM2,S,Teléfono...
FLAGCOMM3,D,Telefax...
FLAGCOMM3,E,Fax...
FLAGCOMM3,S,Telefax...
FLAGCOMM4,D,Teletex
FLAGCOMM4,E,Teletex
FLAGCOMM4,S,Teletex
FLAGCOMM5,D,Telex
FLAGCOMM5,E,Telex
FLAGCOMM5,S,Télex
FLAGCOMM6,D,E-Mail gepflegt
FLAGCOMM6,E,E-Mail Maint.
FLAGCOMM6,S,Corr.elect.act.
FLAGCOMM7,D,R/Mail
FLAGCOMM7,E,R/Mail
FLAGCOMM7,S,R/Mail
FLAGCOMM8,D,X.400
FLAGCOMM8,E,X.400
FLAGCOMM8,S,X.400
FLAGCOMM9,D,RFC
FLAGCOMM9,E,RFC
FLAGCOMM9,S,RFC
FLAGGROUPS,D,Kennz.: Es existieren weitere Zuordnungen zu Adreßgruppen
FLAGGROUPS,E,Flag: There are more address group assignments
FLAGGROUPS,S,Indicador: Existen otras asignaciones para gr.direcciones
FLOOR,D,Stockwerk
FLOOR,E,Floor
FLOOR,S,Piso
HOME_CITY,D,Abw. Wohnort
HOME_CITY,E,Different City
HOME_CITY,S,Residencia alt.
HOUSE_NUM1,D,Hausnummer
HOUSE_NUM1,E,House Number
HOUSE_NUM1,S,Nº (edificio)
HOUSE_NUM2,D,Zusatz
HOUSE_NUM2,E,Supplement
HOUSE_NUM2,S,Apéndice
HOUSE_NUM3,D,Nummer-Bereich
HOUSE_NUM3,E,Number Range
HOUSE_NUM3,S,Ámbito número
ID_CATEGORY,D,ID Kategorie
ID_CATEGORY,E,ID Category
ID_CATEGORY,S,Categoría ID
LANGU_CREA,D,Anlegesprache
LANGU_CREA,E,Creation lang.
LANGU_CREA,S,Idioma creación
LOCATION,D,Straße 5
LOCATION,E,Street 5
LOCATION,S,Calle 5
MC_CITY1,D,Ort
MC_CITY1,E,City
MC_CITY1,S,Población
MC_COUNTY,D,Kreis
MC_COUNTY,E,County
MC_COUNTY,S,Área circular
MC_NAME1,D,Name
MC_NAME1,E,Name
MC_NAME1,S,Nombre
MC_STREET,D,Straße
MC_STREET,E,Street
MC_STREET,S,Calle
MC_TOWNSHIP,D,Stadt
MC_TOWNSHIP,E,Township
MC_TOWNSHIP,S,Ciudad
NAME_CO,D,c/o
NAME_CO,E,c/o
NAME_CO,S,c/o
NAME_TEXT,D,Umges.Name
NAME_TEXT,E,Conv. name
NAME_TEXT,S,Nom.convertido
NAME1,D,Name
NAME1,E,Name
NAME1,S,Nombre
NAME2,D,Name 2
NAME2,E,Name 2
NAME2,S,Nombre 2
NAME3,D,Name 3
NAME3,E,Name 3
NAME3,S,Nombre 3
NAME4,D,Name 4
NAME4,E,Name 4
NAME4,S,Nombre 4
NATION,D,Adressversion
NATION,E,Address Version
NATION,S,Versión direc.
PCODE1_EXT,D,PLZ-Erweiterung
PCODE1_EXT,E,Postal Code Ext
PCODE1_EXT,S,Ampliación CP
PCODE2_EXT,D,PLZ-Erweiterung
PCODE2_EXT,E,Postal Code Ext
PCODE2_EXT,S,Ampliación CP
PCODE3_EXT,D,PLZ-Erweiterung
PCODE3_EXT,E,Postal Code Ext
PCODE3_EXT,S,Ampliación CP
PERS_ADDR,D,pers. Adresse
PERS_ADDR,E,pers. address
PERS_ADDR,S,Direc.personal
PO_BOX,D,Postfach
PO_BOX,E,PO Box
PO_BOX,S,Apartado
PO_BOX_CTY,D,PF-Land
PO_BOX_CTY,E,PO box country
PO_BOX_CTY,S,País apartado
PO_BOX_LOBBY,D,Postfachstation
PO_BOX_LOBBY,E,PO Box Lobby
PO_BOX_LOBBY,S,Est.ap.correos
PO_BOX_LOC,D,Postfach-Ort
PO_BOX_LOC,E,PO Box City
PO_BOX_LOC,S,Pobl.apartado
PO_BOX_NUM,D,PF ohne Nr.
PO_BOX_NUM,E,PO Box w/o no.
PO_BOX_NUM,S,Apdo.sin nº
PO_BOX_REG,D,PF-Region
PO_BOX_REG,E,PO Region
PO_BOX_REG,S,Reg.apart.
POST_CODE1,D,Postleitzahl
POST_CODE1,E,Postal Code
POST_CODE1,S,Código postal
POST_CODE2,D,PLZ Postfach
POST_CODE2,E,PO box post cde
POST_CODE2,S,CP apartado
POST_CODE3,D,PLZ Firma
POST_CODE3,E,Company post cd
POST_CODE3,S,CP empresa
POSTALAREA,D,Zustellbezirk
POSTALAREA,E,Delivery Dist.
POSTALAREA,S,Distrito postal
REGIOGROUP,D,RegionalstrGrp.
REGIOGROUP,E,Reg. Str. Grp.
REGIOGROUP,S,Gr.estruct.reg.
REGION,D,Region
REGION,E,Region
REGION,S,Región
ROOMNUMBER,D,Raumnummer
ROOMNUMBER,E,Room Number
ROOMNUMBER,S,Nº habitación
SORT_PHN,D,phonet. Sort.
SORT_PHN,E,Phonet. Sort.
SORT_PHN,S,Clasif.fonética
SORT1,D,Suchbegriff 1
SORT1,E,Search Term 1
SORT1,S,Concept.búsq.1
SORT2,D,Suchbegriff 2
SORT2,E,Search Term 2
SORT2,S,Concept.búsq.2
STR_SUPPL1,D,Straße 2
STR_SUPPL1,E,Street 2
STR_SUPPL1,S,Calle 2
STR_SUPPL2,D,Straße 3
STR_SUPPL2,E,Street 3
STR_SUPPL2,S,Calle 3
STR_SUPPL3,D,Straße 4
STR_SUPPL3,E,Street 4
STR_SUPPL3,S,Calle 4
STREET,D,Straße
STREET,E,Street
STREET,S,Calle
STREETABBR,D,Abkürz.Straße
STREETABBR,E,Street Abbrev.
STREETABBR,S,Abrev.calle
STREETCODE,D,Straßennummer
STREETCODE,E,Street Code
STREETCODE,S,Nº de calle
TAXJURCODE,D,Steuerstandort
TAXJURCODE,E,Tax Jurisdictn
TAXJURCODE,S,Domicil.fiscal
TEL_EXTENS,D,Nebenstelle
TEL_EXTENS,E,Extension
TEL_EXTENS,S,Extensión
TEL_NUMBER,D,Telefon
TEL_NUMBER,E,Telephone
TEL_NUMBER,S,Teléfono
TIME_ZONE,D,Zeitzone
TIME_ZONE,E,Time zone
TIME_ZONE,S,Huso horario
TITLE,D,Anrede
TITLE,E,Title
TITLE,S,Tratamiento
TOWNSHIP,D,Stadt
TOWNSHIP,E,Township
TOWNSHIP,S,Ciudad
TOWNSHIP_CODE,D,Stadtcode
TOWNSHIP_CODE,E,Township code
TOWNSHIP_CODE,S,Código ciudad
TRANSPZONE,D,Transportzone
TRANSPZONE,E,Transport.zone
TRANSPZONE,S,Zona transporte
UUID_BELATED,D,nachträgliche UUID
UUID_BELATED,E,Subsequent UUID
UUID_BELATED,S,UUID posterior
XPCPT,D,Ende Verwendungszw.
XPCPT,E,PurposeComplete Flag
XPCPT,S,Concl.objetivo util.
ADDR_COMP,D,1.Firmenadresse
ADDR_COMP,E,1st Cmpny. Addr
ADDR_COMP,S,1ª dir.empresa
ADDR_PERS,D,1.pers. Adresse
ADDR_PERS,E,1st Pers. Addr.
ADDR_PERS,S,1ª direc.pers.
ADRP_ERR_STATUS,D,Fehlerstatus
ADRP_ERR_STATUS,E,Error Status
ADRP_ERR_STATUS,S,Status de error
ADRP_UUID,D,Adress-UUID
ADRP_UUID,E,Address UUID
ADRP_UUID,S,UUID dirección
CLIENT_1,D,Mandant
CLIENT_1,E,Client
CLIENT_1,S,Mandante
CONVERTED,D,umgesetzt
CONVERTED,E,Converted
CONVERTED,S,convertido
DATE_FROM_1,D,von
DATE_FROM_1,E,From
DATE_FROM_1,S,de
DATE_TO_1,D,bis
DATE_TO_1,E,To
DATE_TO_1,S,a
FLAGGROUPS_1,D,Kennz.: Es existieren weitere Zuordnungen zu Personengruppen
FLAGGROUPS_1,E,Flag: There are other person group assignments
FLAGGROUPS_1,S,Indicador: Existen otras asignaciones para grupos personas
FLPERSCOMM,D,Pers.Komm.nr.
FLPERSCOMM,E,Pers.comm.no.
FLPERSCOMM,S,Nºcom.personal
FLPERSTEL,D,Pers. Telefon
FLPERSTEL,E,Pers. telephone
FLPERSTEL,S,Teléfono pers.
ID_CATEGORY_1,D,ID Kategorie
ID_CATEGORY_1,E,ID Category
ID_CATEGORY_1,S,Categoría ID
INITIALS,D,Initialen
INITIALS,E,Initials
INITIALS,S,Iniciales
LANGU_1,D,Sprache
LANGU_1,E,Language
LANGU_1,S,Idioma
LANGU_CREA_1,D,Anlegesprache
LANGU_CREA_1,E,Creation lang.
LANGU_CREA_1,S,Idioma creación
MC_NAME2,D,Geburtsname
MC_NAME2,E,Name at Birth
MC_NAME2,S,Apellido solt.
MC_NAMEFIR,D,Vorname
MC_NAMEFIR,E,First name
MC_NAMEFIR,S,Nombre pila
MC_NAMELAS,D,Nachname
MC_NAMELAS,E,Last name
MC_NAMELAS,S,Apellido
NAMCOUNTRY,D,Land f.Aufber.
NAMCOUNTRY,E,Format country
NAMCOUNTRY,S,País p.edición
NAME_FIRST,D,Vorname
NAME_FIRST,E,First name
NAME_FIRST,S,Nombre pila
NAME_LAST,D,Nachname
NAME_LAST,E,Last name
NAME_LAST,S,Apellido
NAME_LAST2,D,2.Nachname
NAME_LAST2,E,2nd family name
NAME_LAST2,S,2º apellido
NAME_TEXT_1,D,Vollst.Name
NAME_TEXT_1,E,Complete name
NAME_TEXT_1,S,Nombre completo
NAME2_1,D,Geburtsname
NAME2_1,E,Name at Birth
NAME2_1,S,Apellido solt.
NAMEFORMAT,D,Format Name
NAMEFORMAT,E,Format name
NAMEFORMAT,S,Formato nombre
NAMEMIDDLE,D,2.Vorname
NAMEMIDDLE,E,2nd forename
NAMEMIDDLE,S,2º nombre
NATION_1,D,Adressversion
NATION_1,E,Address Version
NATION_1,S,Versión direc.
NICKNAME,D,Spitzname
NICKNAME,E,Nickname
NICKNAME,S,Apodo
PERS_GROUP,D,Personengruppe
PERS_GROUP,E,Person group
PERS_GROUP,S,Grupo personas
PERSNUMBER_1,D,Personennummer
PERSNUMBER_1,E,Person number
PERSNUMBER_1,S,Nº persona
PERSORIGIN,D,Quelle Personen
PERSORIGIN,E,Personal source
PERSORIGIN,S,Fuente personas
PREFIX1,D,Vorsatzwort
PREFIX1,E,Prefix
PREFIX1,S,Prefijo
PREFIX2,D,2.Vorsatzwort
PREFIX2,E,2nd prefix
PREFIX2,S,2º prefijo
PROFESSION,D,Beruf
PROFESSION,E,Profession
PROFESSION,S,Profesión
SEX,D,Geschlecht
SEX,E,Gender
SEX,S,Sexo
SORT_PHN_1,D,phonet. Sort.
SORT_PHN_1,E,Phonet. Sort.
SORT_PHN_1,S,Clasif.fonética
SORT1_1,D,Suchbegriff 1
SORT1_1,E,Search Term 1
SORT1_1,S,Concept.búsq.1
SORT2_1,D,Suchbegriff 2
SORT2_1,E,Search Term 2
SORT2_1,S,Concept.búsq.2
TITLE_1,D,Anrede
TITLE_1,E,Title
TITLE_1,S,Tratamiento
TITLE_ACA1,D,Akadem. Titel
TITLE_ACA1,E,Academic Title
TITLE_ACA1,S,Título académ.
TITLE_ACA2,D,2.Akad. Titel
TITLE_ACA2,E,2nd acad. title
TITLE_ACA2,S,2º título acad.
TITLE_SPPL,D,Namenszusatz
TITLE_SPPL,E,Name Supplement
TITLE_SPPL,S,Complem.nombre
UUID_BELATED_1,D,nachträgliche UUID
UUID_BELATED_1,E,Subsequent UUID
UUID_BELATED_1,S,UUID posterior
AEDIF,D,Änderungsdienst: Differenzierung Gültigkeit
AEDIF,E,ECM: differentiate effectivity types
AEDIF,S,Servicio modificaciones: Diferenciación validez
AEFUN,D,Funktion
AEFUN,E,Function
AEFUN,S,Función
AEGRU,D,ÄndGrund
AEGRU,E,Reason for chg
AEGRU,S,Motivo modific.
AENAM,D,Geändert von
AENAM,E,Changed by
AENAM,S,Modificado por
AENBE,D,BerechtGrp
AENBE,E,Auth. group
AENBE,S,Gr.autoriz.
AENST,D,Status ÄndNr
AENST,E,Chg. no. status
AENST,S,Status NºModif.
AERNG,D,Rang
AERNG,E,Rank
AERNG,S,Nivel jerarquía
AETXT,D,Bezeichnung
AETXT,E,Description
AETXT,S,Denominación
ANDAT,D,Angelegt am
ANDAT,E,Created on
ANDAT,S,Creado el
ANNAM,D,Angelegt von
ANNAM,E,Created by
ANNAM,S,Creado por
AUDAT,D,Ende ÜbergFrist
AUDAT,E,Trans. Period End
AUDAT,S,Fin plazo tránsito
CCART,D,Änderungsart
CCART,E,Change type
CCART,S,Clase modific.
CCSTM,D,Statuskey
CCSTM,E,Status key
CCSTM,S,Clave status
CONT1,D,SignProzeß
CONT1,E,Proc. Signature
CONT1,S,Firma proceso
DYDAT,D,Dyn. Datum
DYDAT,E,Dynamic date
DYDAT,S,Fecha dinámica
ERLED,D,Basisänderung
ERLED,E,Basic change
ERLED,S,Modific.base
FLUSE,D,VerwendungsKz
FLUSE,E,Usage indicator
FLUSE,S,Ind.utilización
INDAT,D,Inkrafttreten
INDAT,E,Regulation Date
INDAT,S,Entr.en vigor
LTXSP,D,Ltextsprache
LTXSP,E,Long text lang
LTXSP,S,Idi.texto expl.
LVORM,D,Löschvormerkung
LVORM,E,Deletion Flag
LVORM,S,Pet.borrado
NACHT,D,Nachtrag
NACHT,E,Late Package
NACHT,S,Suplemento
RLDAT,D,Datum  an dem der Freigabeschlüssel geändert wurde
RLDAT,E,Date when the release key was changed
RLDAT,S,Fecha de modificación de la clave de liberación
RLKEY,D,Freigabeschl.
RLKEY,E,Release key
RLKEY,S,Clv.liberación
RLTIM,D,Uhrzeit  an der der Freigabeschlüssel geändert wurde
RLTIM,E,Time when the release key was changed
RLTIM,S,Hora de modificación de la clave de liberación
TEREL,D,Technisch Frei
TEREL,E,Rel. technical.
TEREL,S,Liber.técnica
UESTR,D,übersteuerbar
UESTR,E,Overridable
UESTR,S,sustituible
AEDAT_1,D,Geändert am
AEDAT_1,E,Changed On
AEDAT_1,S,Modificado el
AEERL,D,ObjTyp aktiv
AEERL,E,ObjType active
AEERL,S,TipoObj. activo
AENAM_1,D,Geändert von
AENAM_1,E,Changed by
AENAM_1,S,Modificado por
AENSP,D,Sperren
AENSP,E,Lock
AENSP,S,Bloquear
AETYP,D,Objekttyp
AETYP,E,Object Category
AETYP,S,Tipo objeto
ANDAT_1,D,Angelegt am
ANDAT_1,E,Created on
ANDAT_1,S,Creado el
ANNAM_1,D,Angelegt von
ANNAM_1,E,Created by
ANNAM_1,S,Creado por
GENAN,D,Gen. Erstanl.
GENAN,E,Gen new objects
GENAN,S,Gener.al crear
GENDI,D,Gen. mit Dial.
GENDI,E,Gen with dialog
GENDI,S,Gen.con diálog
INDFL,D,Objekt
INDFL,E,Object
INDFL,S,Objeto
OIGEN,D,ObjVerwaltGen
OIGEN,E,Mgmt record gen
OIGEN,S,Gen.gest.obj.
TOBJA,D,Teilobj. anz.
TOBJA,E,Partial objects
TOBJA,S,Vis.obj.parc.
AEDAT_2,D,Geändert am
AEDAT_2,E,Changed On
AEDAT_2,S,Modificado el
AEDTZ,D,Zähler
AEDTZ,E,Counter
AEDTZ,S,Contador
AENAM_2,D,Geändert von
AENAM_2,E,Changed by
AENAM_2,S,Modificado por
AEOST,D,Baselined
AEOST,E,Baselined
AEOST,S,Con línea base
AETYP_1,D,Objekttyp
AETYP_1,E,Object Category
AETYP_1,S,Tipo objeto
ANDAT_2,D,Angelegt am
ANDAT_2,E,Created on
ANDAT_2,S,Creado el
ANNAM_2,D,Angelegt von
ANNAM_2,E,Created by
ANNAM_2,S,Creado por
CCLCK,D,Sperren
CCLCK,E,Lock
CCLCK,S,Bloquear
CCOAA,D,Änderungsart
CCOAA,E,Change Type
CCOAA,S,Clase modific.
CCSTO,D,Statuskey
CCSTO,E,Status key
CCSTO,S,Clave status
CCVMS,D,Vormerkung
CCVMS,E,Future Change
CCVMS,S,Pet.planific.
CONT1_1,D,SignProzeß
CONT1_1,E,Proc. Signature
CONT1_1,S,Firma proceso
LTXSP_1,D,Ltextsprache
LTXSP_1,E,Long text lang
LTXSP_1,S,Idi.texto expl.
OBJDT,D,Geändert am
OBJDT,E,Changed on
OBJDT,S,Modificado el
OBJKT,D,Objekt
OBJKT,E,Object
OBJKT,S,Objeto
OBJNM,D,Geändert von
OBJNM,E,Changed by
OBJNM,S,Modificado por
OITXT,D,Beschreibung
OITXT,E,Description
OITXT,S,Descripción
USOBJ,D,Objekt
USOBJ,E,Object
USOBJ,S,Objeto
AEDAT_3,D,Geändert am
AEDAT_3,E,Changed On
AEDAT_3,S,Modificado el
AENAM_3,D,Geändert von
AENAM_3,E,Changed by
AENAM_3,S,Modificado por
ANDAT_3,D,Angelegt am
ANDAT_3,E,Created on
ANDAT_3,S,Creado el
ANNAM_3,D,Angelegt von
ANNAM_3,E,Created by
ANNAM_3,S,Creado por
CLASS_LO,D,Klasse
CLASS_LO,E,Class
CLASS_LO,S,Clase
CLASSTY_LO,D,Klassenart
CLASSTY_LO,E,Class Type
CLASSTY_LO,S,Categoría clase
DATE_HI,D,Datum
DATE_HI,E,Date
DATE_HI,S,Fecha
DATE_LO,D,Datum
DATE_LO,E,Date
DATE_LO,S,Fecha
DATE_OI,D,Datum
DATE_OI,E,Date
DATE_OI,S,Fecha
LOCNO_LO,D,Lokation
LOCNO_LO,E,Location
LOCNO_LO,S,Ubicación
MATNR_LO,D,Material
MATNR_LO,E,Material
MATNR_LO,S,Material
PLANT_LO,D,Werk
PLANT_LO,E,Plant
PLANT_LO,S,Centro
PRODUCT_LO,D,Produkt
PRODUCT_LO,E,Product
PRODUCT_LO,S,Producto
SERNR_HI,D,Serialnummer
SERNR_HI,E,Serial no.
SERNR_HI,S,Número de serie
SERNR_LO,D,Serialnummer
SERNR_LO,E,Serial no.
SERNR_LO,S,Número de serie
SERNR_OI,D,Serialnummer
SERNR_OI,E,Serial no.
SERNR_OI,S,Número de serie
STARTUP_LO,D,Vorserienparameter
STARTUP_LO,E,Start-Up Params
STARTUP_LO,S,Parám.lote piloto
APLZL_NCH,D,Zähler
APLZL_NCH,E,Counter
APLZL_NCH,S,Contador
APLZL_VOR,D,Zähler
APLZL_VOR,E,Counter
APLZL_VOR,S,Contador
AUCRE,D,Kennz: AOB automatisch generiert
AUCRE,E,Ind.: Relationship automatically generated
AUCRE,S,Ind.: REO generada automáticamente
AUFPL_NCH,D,Identifizierende Nummer des Nachfolgers zu einem Netzplan
AUFPL_NCH,E,No. identifying the network to which the successor belongs
AUFPL_NCH,S,Número identificador del sucesor para un grafo
AUFPL_VOR,D,ID-Nr.Vorgänger
AUFPL_VOR,E,Prdcsr ID no.
AUFPL_VOR,S,NºID predecesor
DAUERMAX,D,max. Zeitabstand
DAUERMAX,E,max. time inter.
DAUERMAX,S,Interv.tmpo.max.
DAUKZ,D,ABez.DauerKz.
DAUKZ,E,Rel. duration
DAUKZ,S,Ind.dur.REO
DAUTM,D,DauerAOB
DAUTM,E,Rel. duration
